ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,sample_master_id,collection_date,collection_time,collectors_initials,collection_equipment,Other - collection_equipment,sites_w_tubes,Other - sites_w_tubes,site,Other - site,start_depth,end_depth,numb_hauls_abundance,station_1,station_2,station_3,station_4,equipment_id ,Other - equipment_id ,station_5,station_6,station_7,station_8,frozen_archive_taken,numb_hauls_frozen_archive,notes_zoop_collection,filter_date,filter_initials,box_numb,filtration_notes,x,y
51,a636e0ea-e6cf-4672-85f7-9eca2554c3cc,2/2/2021 3:49:15 PM,cdesjardins_IISD,2/2/2021 3:49:15 PM,cdesjardins_IISD,2020063004-03,6/30/2020 6:00:00 PM,20:50,"PF, LEH",zoonets,,,,227_LA_CB_PE,,0,8.5,2,,,,,227_20_1_227_20_2,,,,,,no,,,10/23/2020 6:00:00 PM,KS,2,,0,0
52,e70eb214-b013-44e0-8387-a169c4f2bf2e,2/2/2021 3:57:01 PM,cdesjardins_IISD,2/2/2021 3:57:01 PM,cdesjardins_IISD,2020062805-02,6/29/2020 6:00:00 PM,15:00,"LT, KS",zootubes,,303_LA_CMP_PE,,,,,,,1.5,1.25,1.5,0.75,303_20_1,,2.5,,,,yes,,Not sure how many hauls were done for frozen archive; Sample master date should be 29 of June,10/22/2020 6:00:00 PM,KS,2,,0,0
53,ee0bee25-7b97-4b29-88b1-725ab751b2e8,2/2/2021 4:00:24 PM,cdesjardins_IISD,2/2/2021 4:00:24 PM,cdesjardins_IISD,2020063006-04,6/30/2020 6:00:00 PM,13:55,"PF, LT",zoonets,,,,224_LA_CB_PE,,0,25,2,,,,,224_20_1_224_20_2,,,,,,yes,,Not sure how many hauls were taken for frozen archive,10/23/2020 6:00:00 PM,KS,2,,0,0
54,b2efbffe-4c2a-463f-84bd-4bb4c5d2a55a,2/2/2021 4:04:33 PM,cdesjardins_IISD,2/2/2021 4:04:33 PM,cdesjardins_IISD,2020063003-03,6/30/2020 6:00:00 PM,21:15,"KS, LT",zootubes,,378_LA_CMP_PE,,,,,,,4,6,,8,378_20_1,,,10,12,15.5,yes,,Not sure how many hauls were taken for frozen archive,10/23/2020 6:00:00 PM,KS,2,,0,0
55,dee52735-068a-4afc-8a0d-8ba4350dde73,2/2/2021 4:17:05 PM,cdesjardins_IISD,2/2/2021 4:17:05 PM,cdesjardins_IISD,2020062806-03,6/29/2020 6:00:00 PM,13:30,"LT, KS",zootubes,,304_LA_CMP_PE,,,,,,,2.75,2.5,3.5,4.5,304_20_1,,6,,,,yes,,Not sure how many hauls were taken for frozen archives,10/22/2020 6:00:00 PM,KS,2,,0,0
56,8fb1fd7f-07de-4ae4-8660-685c106dcf63,2/2/2021 4:22:25 PM,cdesjardins_IISD,2/2/2021 4:22:25 PM,cdesjardins_IISD,2020062804-03,6/29/2020 6:00:00 PM,13:25,"PF, LEH",zootubes,,260_LA_CMP_PE,,,,,,,5,14,6,2,260_20_1,,4,2,9,,no,,"Date on sample master label is wrong, should be 29 June 2020",10/22/2020 6:00:00 PM,KS,2,,0,0
57,90532a6c-ccdc-4923-8776-b5970b27dea1,2/2/2021 4:30:44 PM,cdesjardins_IISD,2/2/2021 4:30:44 PM,cdesjardins_IISD,2020063007-03,6/30/2020 6:00:00 PM,13:55,"KS, LEH",zoonets,,,,223_LA_CB_PE,,0,13,2,,,,,223_20_1_223_20_2,,,,,,yes,,Not sure how many hauls taken for frozen archive; Small hole in net near collar in net 223-20-2.  Hole fixed with silicone once back in camp.  Probably didn't affect catch much.,10/22/2020 6:00:00 PM,KS,2,Sample split between 3 vials,0,0
58,d9c662ba-6c20-4345-801a-3c2b77ef3577,2/2/2021 4:34:43 PM,cdesjardins_IISD,2/2/2021 4:40:59 PM,cdesjardins_IISD,2020102302-03,10/23/2020 6:00:00 PM,09:18,"KS, LNH",zoonets,,,,227_LA_CB_PE,,0,9,2,,,,,227_20_1_227_20_2,,,,,,no,,,10/27/2020 6:00:00 PM,KS,2,,0,0
59,baafe803-a4c9-4d15-8173-bf7e9ce5f532,2/2/2021 4:40:12 PM,cdesjardins_IISD,2/2/2021 4:40:12 PM,cdesjardins_IISD,2020102202-03,10/22/2020 6:00:00 PM,09:00,"KS, BC",zootubes,,304_LA_CMP_PE,,,,,,,2.25,2.25,3.25,4.25,304_20_1,,6,,,,yes,1,"I think I might have put the wrong date for 2020102302-03 should have been 23 Oct, but I don't have a password to go in and check it.
This sample has the correct collection date.",10/27/2020 6:00:00 PM,KS,2,,0,0
60,6b63a588-8406-4be1-81dc-c61d70049a2b,2/2/2021 4:48:27 PM,cdesjardins_IISD,2/2/2021 4:48:27 PM,cdesjardins_IISD,2020050602-09,5/6/2020 6:00:00 PM,09:25,KS,zoonets,,,,239_LA_CB_PE,,0,29.5,2,,,,,239_20_1_239_20_2,,,,,,no,,,10/23/2020 6:00:00 PM,KS,1,,0,0
61,79ef192f-17f0-4668-8b76-736a2ff9bbc6,2/2/2021 4:51:09 PM,cdesjardins_IISD,2/2/2021 4:51:09 PM,cdesjardins_IISD,2020102503-03,10/25/2020 6:00:00 PM,08:58,"LT, PF",zoonets,,,,224_LA_CB_PE,,0,25,2,,,,,224_20_1_224_20_2,,,,,,yes,1,,10/28/2020 6:00:00 PM,KS,2,,0,0
62,a2b48d52-e3d4-4ee5-81c4-1721be953119,2/2/2021 4:53:37 PM,cdesjardins_IISD,2/2/2021 4:53:37 PM,cdesjardins_IISD,2020102502-02,10/25/2020 6:00:00 PM,09:00,"LH, LH",zoonets,,,,223_LA_CB_PE,,0,12.5,2,,,,,223_20_1_223_20_2,,,,,,yes,1,,10/28/2020 6:00:00 PM,KS,2,,0,0
63,6323f81e-6e8e-498c-8cec-15c23fb69f7b,2/2/2021 6:19:56 PM,cdesjardins_IISD,2/2/2021 6:19:56 PM,cdesjardins_IISD,2020102506-09,10/26/2020 6:00:00 PM,09:01,"LEH, KS",zoonets,,,,239_LA_CB_PE,,0,29.5,2,,,,,239_20_1_239_20_2,,,,,,no,,,10/28/2020 6:00:00 PM,KS,2,,0,0
64,63e61839-1d64-4d0e-8509-56d70520a61a,2/2/2021 6:23:45 PM,cdesjardins_IISD,2/2/2021 6:23:45 PM,cdesjardins_IISD,2020102508-03,10/26/2020 6:00:00 PM,08:19,"LDH, PF",zootubes,,378_LA_CMP_PE,,,,,,,,,,,378_20_1,,,,,,yes,1,,10/28/2020 6:00:00 PM,KS,2,,0,0
65,a56ac3e6-d7f7-456e-83f0-ef22f3b9c78f,2/2/2021 6:28:36 PM,cdesjardins_IISD,2/2/2021 6:28:36 PM,cdesjardins_IISD,2020102509-03,10/26/2020 6:00:00 PM,13:55,"LEH, PF",zootubes,,373_LA_CMP_PE,,,,,,,2,14,6,19.75,373_20_1,,4,10,,,yes,1,,10/28/2020 6:00:00 PM,KS,2,,0,0
66,cff8c9cc-192c-4b04-8950-24ff9ace4c55,2/2/2021 6:31:33 PM,cdesjardins_IISD,2/2/2021 6:31:33 PM,cdesjardins_IISD,2020102507-03,10/26/2020 6:00:00 PM,13:45,"KS, LDH",zootubes,,260_LA_CMP_PE,,,,,,,,,,,260_20_1,,,,,,no,,,10/28/2020 6:00:00 PM,KS,2,,0,0
