united_code,lake,date,year,month,jd,time,depth,light_percent,light_situ,log_e_light,flag
114_1986-08-26,114,1986-08-26,1986,8,238,10:13:00,4,6.03,17,2.833213344,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,0,100,67,4.204692619,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,0.5,75.82,50.8,3.927896355,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,1,39.25,26.3,3.269568939,yes
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,2,26.26,17.6,2.867898902,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,3,16.26,10.9,2.388762789,no
114_1986-09-08,114,1986-09-08,1986,9,251,11:45:00,4,8.06,5.4,1.686398954,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,0,100,180,5.192956851,yes
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,0.5,42.77,77,4.343805422,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,1,27.22,49,3.891820298,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,2,13.33,24,3.17805383,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,3,9.39,16.9,2.827313622,no
114_1986-09-22,114,1986-09-22,1986,9,265,12:00:00,4,5.72,10.3,2.332143895,no
114_1986-10-21,114,1986-10-21,1986,10,294,11:10:00,0,100,58,4.060443011,yes
114_1986-10-21,114,1986-10-21,1986,10,294,11:10:00,0.5,62.41,36.2,3.589059119,no
114_1986-10-21,114,1986-10-21,1986,10,294,11:10:00,1,47.58,27.6,3.317815773,no
114_1986-10-21,114,1986-10-21,1986,10,294,11:10:00,2,29.99,17.4,2.856470206,no
114_1986-10-21,114,1986-10-21,1986,10,294,11:10:00,3,22.06,12.8,2.549445171,no
114_1986-10-21,114,1986-10-21,1986,10,294,11:10:00,4,15.86,9.2,2.219203484,no
114_1987-05-06,114,1987-05-06,1987,5,126,10:00:00,0,100,92,4.521788577,yes
114_1987-05-06,114,1987-05-06,1987,5,126,10:00:00,0.5,61.95,57,4.043051268,no
114_1987-05-06,114,1987-05-06,1987,5,126,10:00:00,1,42.39,39,3.663561646,no
114_1987-05-06,114,1987-05-06,1987,5,126,10:00:00,2,26.41,24.3,3.19047635,no
114_1987-05-06,114,1987-05-06,1987,5,126,10:00:00,3,16.41,15.1,2.714694744,no
114_1987-05-06,114,1987-05-06,1987,5,126,10:00:00,4,11.08,10.2,2.32238772,no
114_1987-05-21,114,1987-05-21,1987,5,141,9:45:00,0,100,165,5.105945474,yes
114_1987-05-21,114,1987-05-21,1987,5,141,9:45:00,0.5,63.03,104,4.644390899,no
114_1987-05-21,114,1987-05-21,1987,5,141,9:45:00,1,30.36,50.1,3.914021008,no
114_1987-05-21,114,1987-05-21,1987,5,141,9:45:00,2,23.09,38.1,3.640214282,no
114_1987-05-21,114,1987-05-21,1987,5,141,9:45:00,3,16.48,27.2,3.303216973,no
114_1987-05-21,114,1987-05-21,1987,5,141,9:45:00,4,10,16.5,2.803360381,no
114_1987-06-01,114,1987-06-01,1987,6,152,10:35:00,0,100,270,5.598421959,yes
114_1987-06-01,114,1987-06-01,1987,6,152,10:35:00,0.5,51.85,140,4.941642423,no
