"Plot Title: 20141996-in lab"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20141996, SEN S/N: 20141996)","Temp, °C (LGR S/N: 20141996, SEN S/N: 20141996)","Coupler Attached (LGR S/N: 20141996)","Host Connected (LGR S/N: 20141996)","Stopped (LGR S/N: 20141996)","End Of File (LGR S/N: 20141996)"
1,05/10/22,04:00:00  PM,10.49,11.88,,,,
2,05/10/22,04:05:00  PM,10.50,11.94,,,,
3,05/10/22,04:10:00  PM,10.49,12.00,,,,
4,05/10/22,04:15:00  PM,10.49,12.06,,,,
5,05/10/22,04:20:00  PM,10.49,12.12,,,,
6,05/10/22,04:25:00  PM,10.48,12.16,,,,
7,05/10/22,04:30:00  PM,10.48,12.22,,,,
8,05/10/22,04:35:00  PM,10.47,12.26,,,,
9,05/10/22,04:40:00  PM,10.47,12.30,,,,
10,05/10/22,04:45:00  PM,10.46,12.36,,,,
11,05/10/22,04:50:00  PM,10.47,12.40,,,,
12,05/10/22,04:55:00  PM,10.46,12.44,,,,
13,05/10/22,05:00:00  PM,10.46,12.48,,,,
14,05/10/22,05:05:00  PM,10.45,12.54,,,,
15,05/10/22,05:10:00  PM,10.44,12.58,,,,
16,05/10/22,05:15:00  PM,10.45,12.62,,,,
17,05/10/22,05:20:00  PM,10.44,12.66,,,,
18,05/10/22,05:25:00  PM,10.43,12.70,,,,
19,05/10/22,05:30:00  PM,10.43,12.74,,,,
20,05/10/22,05:35:00  PM,10.42,12.78,,,,
21,05/10/22,05:40:00  PM,10.42,12.82,,,,
22,05/10/22,05:45:00  PM,10.40,12.86,,,,
23,05/10/22,05:50:00  PM,10.40,12.90,,,,
24,05/10/22,05:55:00  PM,10.40,12.94,,,,
25,05/10/22,06:00:00  PM,10.40,12.98,,,,
26,05/10/22,06:05:00  PM,10.39,13.02,,,,
27,05/10/22,06:10:00  PM,10.39,13.04,,,,
28,05/10/22,06:15:00  PM,10.38,13.08,,,,
29,05/10/22,06:20:00  PM,10.39,13.12,,,,
30,05/10/22,06:25:00  PM,10.37,13.16,,,,
31,05/10/22,06:30:00  PM,10.37,13.18,,,,
32,05/10/22,06:35:00  PM,10.36,13.22,,,,
33,05/10/22,06:40:00  PM,10.37,13.26,,,,
34,05/10/22,06:45:00  PM,10.35,13.30,,,,
35,05/10/22,06:50:00  PM,10.37,13.32,,,,
36,05/10/22,06:55:00  PM,10.35,13.36,,,,
37,05/10/22,07:00:00  PM,10.35,13.38,,,,
38,05/10/22,07:05:00  PM,10.35,13.42,,,,
39,05/10/22,07:10:00  PM,10.34,13.46,,,,
40,05/10/22,07:15:00  PM,10.34,13.48,,,,
41,05/10/22,07:20:00  PM,10.34,13.52,,,,
42,05/10/22,07:25:00  PM,10.32,13.54,,,,
43,05/10/22,07:30:00  PM,10.32,13.58,,,,
44,05/10/22,07:35:00  PM,10.32,13.60,,,,
45,05/10/22,07:40:00  PM,10.32,13.64,,,,
46,05/10/22,07:45:00  PM,10.31,13.66,,,,
47,05/10/22,07:50:00  PM,10.31,13.70,,,,
48,05/10/22,07:55:00  PM,10.31,13.72,,,,
49,05/10/22,08:00:00  PM,10.32,13.76,,,,
50,05/10/22,08:05:00  PM,10.31,13.78,,,,
51,05/10/22,08:10:00  PM,10.29,13.82,,,,
52,05/10/22,08:15:00  PM,10.29,13.84,,,,
53,05/10/22,08:20:00  PM,10.29,13.86,,,,
54,05/10/22,08:25:00  PM,10.27,13.90,,,,
55,05/10/22,08:30:00  PM,10.28,13.92,,,,
56,05/10/22,08:35:00  PM,10.28,13.96,,,,
57,05/10/22,08:40:00  PM,10.27,13.98,,,,
58,05/10/22,08:45:00  PM,10.28,14.00,,,,
59,05/10/22,08:50:00  PM,10.26,14.04,,,,
60,05/10/22,08:55:00  PM,10.26,14.06,,,,
61,05/10/22,09:00:00  PM,10.25,14.08,,,,
62,05/10/22,09:05:00  PM,10.25,14.10,,,,
63,05/10/22,09:10:00  PM,10.24,14.12,,,,
64,05/10/22,09:15:00  PM,10.25,14.16,,,,
65,05/10/22,09:20:00  PM,10.25,14.18,,,,
66,05/10/22,09:25:00  PM,10.24,14.20,,,,
67,05/10/22,09:30:00  PM,10.23,14.22,,,,
68,05/10/22,09:35:00  PM,10.23,14.26,,,,
69,05/10/22,09:40:00  PM,10.23,14.28,,,,
70,05/10/22,09:45:00  PM,10.22,14.30,,,,
71,05/10/22,09:50:00  PM,10.22,14.32,,,,
72,05/10/22,09:55:00  PM,10.22,14.34,,,,
73,05/10/22,10:00:00  PM,10.22,14.36,,,,
74,05/10/22,10:05:00  PM,10.22,14.40,,,,
75,05/10/22,10:10:00  PM,10.22,14.42,,,,
76,05/10/22,10:15:00  PM,10.21,14.44,,,,
77,05/10/22,10:20:00  PM,10.21,14.44,,,,
78,05/10/22,10:25:00  PM,10.21,14.48,,,,
79,05/10/22,10:30:00  PM,10.19,14.50,,,,
