"Plot Title: 2022spring-20358773-logger_comparison"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20358773, SEN S/N: 20358773)","Temp, °C (LGR S/N: 20358773, SEN S/N: 20358773)","Sensor Data Error (LGR S/N: 20358773)","Coupler Attached (LGR S/N: 20358773)","Host Connected (LGR S/N: 20358773)","Stopped (LGR S/N: 20358773)","End Of File (LGR S/N: 20358773)"
1,05/26/22,04:00:00  PM,8.73,18.42,,,,,
2,05/26/22,04:05:00  PM,8.72,18.48,,,,,
3,05/26/22,04:10:00  PM,8.71,18.50,,,,,
4,05/26/22,04:15:00  PM,8.71,18.52,,,,,
5,05/26/22,04:20:00  PM,8.70,18.58,,,,,
6,05/26/22,04:25:00  PM,8.96,17.94,,,,,
7,05/26/22,04:30:00  PM,10.54,16.38,,,,,
8,05/26/22,04:35:00  PM,10.87,15.58,,,,,
9,05/26/22,04:40:00  PM,11.03,15.32,,,,,
10,05/26/22,04:45:00  PM,11.04,15.38,,,,,
11,05/26/22,04:50:00  PM,11.05,15.46,,,,,
12,05/26/22,04:55:00  PM,11.03,15.50,,,,,
13,05/26/22,05:00:00  PM,10.96,15.52,,,,,
14,05/26/22,05:05:00  PM,10.91,15.52,,,,,
15,05/26/22,05:10:00  PM,10.89,15.50,,,,,
16,05/26/22,05:15:00  PM,10.90,15.52,,,,,
17,05/26/22,05:20:00  PM,10.93,15.54,,,,,
18,05/26/22,05:25:00  PM,10.82,15.64,,,,,
19,05/26/22,05:30:00  PM,10.86,15.70,,,,,
20,05/26/22,05:35:00  PM,10.90,15.74,,,,,
21,05/26/22,05:40:00  PM,10.84,15.70,,,,,
22,05/26/22,05:45:00  PM,10.79,15.68,,,,,
23,05/26/22,05:50:00  PM,10.79,15.68,,,,,
24,05/26/22,05:55:00  PM,10.93,15.66,,,,,
25,05/26/22,06:00:00  PM,10.90,15.68,,,,,
26,05/26/22,06:05:00  PM,10.93,15.68,,,,,
27,05/26/22,06:10:00  PM,10.90,15.70,,,,,
28,05/26/22,06:15:00  PM,10.87,15.70,,,,,
29,05/26/22,06:20:00  PM,10.80,15.70,,,,,
30,05/26/22,06:25:00  PM,10.81,15.68,,,,,
31,05/26/22,06:30:00  PM,11.07,15.68,,,,,
32,05/26/22,06:35:00  PM,10.97,15.66,,,,,
33,05/26/22,06:40:00  PM,10.98,15.62,,,,,
34,05/26/22,06:45:00  PM,10.86,15.58,,,,,
35,05/26/22,06:50:00  PM,10.90,15.56,,,,,
36,05/26/22,06:55:00  PM,10.87,15.54,,,,,
37,05/26/22,07:00:00  PM,10.91,15.54,,,,,
38,05/26/22,07:05:00  PM,10.84,15.56,,,,,
39,05/26/22,07:10:00  PM,10.82,15.54,,,,,
40,05/26/22,07:15:00  PM,10.91,15.52,,,,,
41,05/26/22,07:20:00  PM,10.87,15.52,,,,,
42,05/26/22,07:25:00  PM,10.81,15.50,,,,,
43,05/26/22,07:30:00  PM,10.82,15.46,,,,,
44,05/26/22,07:35:00  PM,10.72,15.46,,,,,
45,05/26/22,07:40:00  PM,10.80,15.40,,,,,
46,05/26/22,07:45:00  PM,10.84,15.34,,,,,
47,05/26/22,07:50:00  PM,10.90,15.26,,,,,
48,05/26/22,07:55:00  PM,10.91,15.24,,,,,
49,05/26/22,08:00:00  PM,10.87,15.24,,,,,
50,05/26/22,08:05:00  PM,10.88,15.22,,,,,
51,05/26/22,08:10:00  PM,10.94,15.20,,,,,
52,05/26/22,08:15:00  PM,10.79,15.18,,,,,
53,05/26/22,08:20:00  PM,10.80,15.18,,,,,
54,05/26/22,08:25:00  PM,10.81,15.16,,,,,
55,05/26/22,08:30:00  PM,10.75,15.14,,,,,
56,05/26/22,08:35:00  PM,10.76,15.12,,,,,
57,05/26/22,08:40:00  PM,10.80,15.12,,,,,
58,05/26/22,08:45:00  PM,10.82,15.10,,,,,
59,05/26/22,08:50:00  PM,10.76,15.10,,,,,
60,05/26/22,08:55:00  PM,10.91,15.08,,,,,
61,05/26/22,09:00:00  PM,10.86,15.06,,,,,
62,05/26/22,09:05:00  PM,10.81,15.04,,,,,
63,05/26/22,09:10:00  PM,10.82,15.02,,,,,
64,05/26/22,09:15:00  PM,10.84,15.00,,,,,
65,05/26/22,09:20:00  PM,10.81,14.98,,,,,
66,05/26/22,09:25:00  PM,10.79,14.96,,,,,
67,05/26/22,09:30:00  PM,10.80,14.94,,,,,
68,05/26/22,09:35:00  PM,10.79,14.90,,,,,
