"Plot Title: 2022spring-20342003-logger_comparison"
"#","Date","Time, GMT-06:00","DO conc, mg/L (LGR S/N: 20342003, SEN S/N: 20342003)","Temp, °C (LGR S/N: 20342003, SEN S/N: 20342003)","Coupler Attached (LGR S/N: 20342003)","Host Connected (LGR S/N: 20342003)","Stopped (LGR S/N: 20342003)","End Of File (LGR S/N: 20342003)"
1,05/26/22,04:00:00  PM,9.08,21.12,,,,
2,05/26/22,04:05:00  PM,9.07,20.74,,,,
3,05/26/22,04:10:00  PM,9.12,20.50,,,,
4,05/26/22,04:15:00  PM,9.11,20.42,,,,
5,05/26/22,04:20:00  PM,9.02,20.46,,,,
6,05/26/22,04:25:00  PM,9.39,19.22,,,,
7,05/26/22,04:30:00  PM,10.40,16.62,,,,
8,05/26/22,04:35:00  PM,10.66,15.74,,,,
9,05/26/22,04:40:00  PM,10.92,15.38,,,,
10,05/26/22,04:45:00  PM,10.96,15.40,,,,
11,05/26/22,04:50:00  PM,10.97,15.46,,,,
12,05/26/22,04:55:00  PM,10.91,15.50,,,,
13,05/26/22,05:00:00  PM,10.89,15.52,,,,
14,05/26/22,05:05:00  PM,10.83,15.54,,,,
15,05/26/22,05:10:00  PM,10.82,15.52,,,,
16,05/26/22,05:15:00  PM,10.78,15.52,,,,
17,05/26/22,05:20:00  PM,10.82,15.52,,,,
18,05/26/22,05:25:00  PM,10.82,15.60,,,,
19,05/26/22,05:30:00  PM,10.79,15.68,,,,
20,05/26/22,05:35:00  PM,10.73,15.72,,,,
21,05/26/22,05:40:00  PM,10.72,15.72,,,,
22,05/26/22,05:45:00  PM,10.72,15.70,,,,
23,05/26/22,05:50:00  PM,10.75,15.68,,,,
24,05/26/22,05:55:00  PM,10.88,15.66,,,,
25,05/26/22,06:00:00  PM,10.82,15.66,,,,
26,05/26/22,06:05:00  PM,10.87,15.68,,,,
27,05/26/22,06:10:00  PM,10.89,15.68,,,,
28,05/26/22,06:15:00  PM,10.79,15.68,,,,
29,05/26/22,06:20:00  PM,10.75,15.68,,,,
30,05/26/22,06:25:00  PM,10.72,15.68,,,,
31,05/26/22,06:30:00  PM,11.03,15.66,,,,
